,EGARCH Strategy,Buy & Hold
Total Return,63.851091415655546,27.225023279875842
CAGR,0.9358302372950642,0.6969460905159526
Sharpe Ratio (annualize=365),1.5069821070182878,1.1458919127003966
Max Drawdown,-0.5476203617870765,-0.7662925431645935
Trades,82.0,
Win Rate,0.8414634146341463,
Avg Trade PnL,0.05945305311367831,
